Network,MAC,SSID,Frequency,Signal,Lat,Lon,Alt,Time,,DiffLat,DiffLon,DiffAlt,Network,MAC,SSID,Frequency,Signal,Lat,Lon,Alt,Time
169,00:02:6f:8e:64:67, ,1,-87,32.10344907,35.20923973,708.5804378,03/12/2017 08:45,Approx. w-center algo1,0,0,0,279,00:02:6f:8e:64:67, ,1,-87,32.10344907,35.20923973,708.5804378,03/12/2017 08:45
229,00:02:6f:b8:c4:1a, ,11,-86,32.10398683,35.20897218,702.37846,03/12/2017 08:50,Approx. w-center algo1,0,0,0,123,00:02:6f:b8:c4:1a, ,11,-86,32.10398683,35.20897218,702.37846,03/12/2017 08:41
252,00:0d:f0:3e:fa:ca,Gateway,9,-87,32.10608928,35.21106968,688.7624378,03/12/2017 08:39,Approx. w-center algo1,0,0,0,178,00:0d:f0:3e:fa:ca,Gateway,9,-87,32.10608928,35.21106968,688.7624378,03/12/2017 08:39
156,00:0e:f4:c1:50:14,vladimir,11,-92,32.1026346,35.20757686,692.0341048,03/12/2017 08:37,Approx. w-center algo1,0,0,0,298,00:0e:f4:c1:50:14,vladimir,11,-92,32.1026346,35.20757686,692.0341048,03/12/2017 08:37
297,00:11:6b:11:02:b7,yosh,1,-84,32.10243136,35.20974513,691.2324346,03/12/2017 08:46,Approx. w-center algo1,0,0,0,281,00:11:6b:11:02:b7,yosh,1,-84,32.10243136,35.20974513,691.2324346,03/12/2017 08:41
314,00:11:6b:11:7d:c7,yosh,13,-84,32.10485713,35.21021682,709.8314148,03/12/2017 08:53,Approx. w-center algo1,0,0,0,20,00:11:6b:11:7d:c7,yosh,13,-84,32.10485713,35.21021682,709.8314148,03/12/2017 08:40
65,00:11:6b:11:7e:0c,yosh,1,-87,32.10487689,35.21085267,693.1063547,03/12/2017 08:49,Approx. w-center algo1,0,0,0,100,00:11:6b:11:7e:0c,yosh,1,-87,32.10487689,35.21085267,693.1063547,03/12/2017 08:42
308,00:11:6b:2a:90:3c,Cartiheal,11,-73,32.1049208,35.20973324,703.1072223,03/12/2017 08:45,Approx. w-center algo1,0,0,0,211,00:11:6b:2a:90:3c,Cartiheal,11,-73,32.1049208,35.20973324,703.1072223,03/12/2017 08:38
293,00:12:2a:39:2c:3c,netbox-550b,1,-86,32.10251814,35.20734901,698.9056862,03/12/2017 08:37,Approx. w-center algo1,0,0,0,89,00:12:2a:39:2c:3c,netbox-550b,1,-86,32.10251814,35.20734901,698.9056862,03/12/2017 08:37
251,00:1a:2f:7f:6b:70, ,13,-76,32.10555276,35.21020599,689.360809,03/12/2017 08:38,Approx. w-center algo1,0,0,0,18,00:1a:2f:7f:6b:70, ,13,-76,32.10555276,35.21020599,689.360809,03/12/2017 08:38
174,00:1a:dd:e3:06:e4,afikim-wifi,1,-53,32.1025298,35.20731989,699.8860445,03/12/2017 08:37,Approx. w-center algo1,0,0,0,73,00:1a:dd:e3:06:e4,afikim-wifi,1,-53,32.1025298,35.20731989,699.8860445,03/12/2017 08:37
120,00:1a:dd:f4:ef:04,PEPWAVE_9481,1,-76,32.10596257,35.21055154,688.6825017,03/12/2017 08:39,Approx. w-center algo1,0,0,0,113,00:1a:dd:f4:ef:04,PEPWAVE_9481,1,-76,32.10596257,35.21055154,688.6825017,03/12/2017 08:39
94,00:1a:dd:f4:ef:c4, ,1,-87,32.10614939,35.21138727,688.8993666,03/12/2017 08:39,Approx. w-center algo1,0,0,0,82,00:1a:dd:f4:ef:c4, ,1,-87,32.10614939,35.21138727,688.8993666,03/12/2017 08:39
96,00:1a:dd:f4:ef:c5,Afikim_Wifi,1,-81,32.10608928,35.21106968,688.7624378,03/12/2017 08:39,Approx. w-center algo1,0,0,0,80,00:1a:dd:f4:ef:c5,Afikim_Wifi,1,-81,32.10608928,35.21106968,688.7624378,03/12/2017 08:39
